client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_20986135.mp3	135c63294251194fc3a3e73578c13e59e05ad61b9d2d35056137fc660812c4cd	με ράστα μαλλιά		1	0	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21273671.mp3	08cbadbf237892309ab24f9f4e7019ca9897e86bfb166ac915b5e31d6209c3b1	Είδε τ' αδέλφια και σηκώθηκε βιαστικά		1	1	thirties	male_masculine			el	
39f45c6dc1615cba6461c9c23515d62f9c1dda88c4378ddabf028275e2fdcbca8924d1da10b5de1e8c4eac8d8c110ea00c3d6498e56b701b84e6b64fecf66329	common_voice_el_21327264.mp3	2864186bbc1b0a2496eb4339bb14ad322ee47d5184828d3ef67910010b867692	Σκυμμένος ως κάτω στάθηκε ο αρχικαγκελάριος ακίνητος.		1	1	fifties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21515151.mp3	0010b2134a14f8ff9fe8368f10ff1f7f85f097dab8bcbe55f9ebab8aed746f57	Ο δρόμος είναι μακρύς, είπε.		1	1	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21530153.mp3	053fdfeeebfa0177381624ca1d46336f67fb1c7ce77418fd536dcb54bf8c234a	ούτε αλειμματοκέρι πια δε βρίσκουνταν στο παλάτι.		0	0	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21530187.mp3	05812b30720ba27508b8c5b5beedb2e5ee838673e7fcf502a3e788275577fc50	Τι πληρώνω γι' αυτόν; ρώτησε τον πρωτοβεστιάριο.		1	1	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21530332.mp3	08140ecf7bc387263ef07eec5e14cf5db20b4ab49b3931ab4c16488022047be4	θα τα ξοδιάσεις και θα τελειώσουν.		0	0	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21530378.mp3	0761b0b801ebbc6edad7eb0b83d23d4a211688f566347027f3deb645eae278a1	μα περνώντας από το δάσος άκουσε ομιλίες.		0	1	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21530510.mp3	105b5c5092e72924eb4f3da191fb5e491d0998d143439b5895e4364885ce7f88	πως αν δε βρω τρόπο να χώσω τον Κακομοιρίδη στη φυλακή		1	0	thirties	male_masculine			el	
27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297	common_voice_el_21530551.mp3	1198f9d36311e34e925a67164aeaf3e1bf42eb1f812304b1616e6f111cd71f8b	Ο πρωτομάστορης άκουσε τη φωνή του και γύρισε.		1	1	thirties	male_masculine			el	
