sentence_id	sentence	sentence_domain	source	is_used	clips_count
001351720bffec0e1de6faee13ab4ae092bdaa5d299db741472b68bca48dc4c1	Η Ματμαζέλ γρίνιαζε πως δεν πρόσεχαν στο μάθημα		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
00c551748dd05cf31d79c4b28e4148ff0e337f34a1b6b9406d9a9dec21a27490	Και προπαντός, μην σκεφθείτε ποτέ πως ο μύθος είναι κανένα απολιθωμένο παραμύθι.		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
011c15d92a4739ecb0c2689447e242ab990e14e5556b57624cd73a3690703a39	είπα θυμωμένος		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
019f0e51a79133773bc6ee3ec3f82d021c108bf0aa09efdb7fae295665fdc31d	Και μας ξανασφύριξε.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
01fb1e9782eeb68a5effc224be67af34d29c919e4ff8b239068cc216b9857cac	Τι τράβηξαν τότε αυτοί οι πρώτοι μάρτυρες!		sentence-collector	1	0
02002e5b6860b34292440d949fd82d2fd721bc82bcbe839c16b073d984001641	Αυτός έβγαλε το κοριτσάκι από τη θάλασσα.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
02117eca884cf0b9966f8cf852af84ea946223aca9f3a4b64ac6a2f8bd8240f3	Το βρήκε ο Μάγκας!		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
02795349e95dee5dfb22c225bdeea7e7aef328f822fbed92274992888dc48e25	Γιατί να τη σκοτώσω;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
02942530be062ec3e3d2daa192313de55f0f62b478dfa3f39ef2dbefcce64ea0	Δες, Πατέρα, έχει ένα σκοινί στο λαιμό, είπε ο Λουκάς.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
02ad519bd17795f89f7bd020444cd79373cb7572d247241ccb00717d2fb9c669	Το παιδί είναι άρρωστο.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
03287a71576ec7438a5b7df7e3e51036235866e31d22fdaa07e17905bf331d55	ώστε να δικαιολογείται η ερμηνεία των μύθων		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
03b8e287bd35c46ecd0e030882016a9c2dfedd044766de3b53fd6cd49e6ba88b	και προστασίας από τους θεούς τους,		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
03e121e4f67bc919edc82fbae963852be521508fa10df14675530fe0d3234ecd	πάνε καμπόσα χρόνια,		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/	1	0
03e92c10c3aee1e37d44a77b6901cd73a7e6bd7debc0aad97a3e9aa05ccd3055	Τον Μάγκα, Κυρία, αποκρίθηκε ο αμαξάς		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0407a49143338b3c3d67c1fff0d838d99ab3b2f9d3c742e2f986a0f21962bc03	Ένα σημαντικό κομμάτι της ιστορίας του δικαίου είναι η νομική αρχαιολογία.		https://hf.co/datasets/nyuuzyou/chatgpt-in-russia-qa	1	0
043bdab5f25b956c89e8d5ffc6eaaa60e1f0ddbdb550f64e9b6cef324540af83	οι κοινότητες μεταμόρφωναν τους μύθους,		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
044c8f57ec27d79f93e65a9fb87341e5fe41bf1382f6cf53284f8e6e6246df82	Μα τι έπαθες;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0492c7b37134ee598b055aa8ad655c1706fe2659c91d8569f6a575bcd0422ada	να ερευνήσουν τα κρυμμένα μονοπάτια της,		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
04d11999a6c9dc836110431274cbf92e2468d0bd0156daa0be50d432f3085e8a	Σβήσε τα φώτα.		Αυτοαναφορά	1	0
051feb46959280f7923b201f4d2c5d536e06082b30d044582334246d4274a0e4	Εγώ δεν έχω ανατροφή		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0528353043304c01eb6f243fa09692d9afd3a676540f5938db7b32025834e032	Οι γνώσεις όμως και οι διαγνώσεις των δικών μας αναγκών		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
053e375c85d4538a2d9f7bb1fdacc4446a9235c40246fc7019b7030bb9d7912a	Δεν έχανε περίσταση να μαντατεύει τα παιδιά στη μητέρα		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
057d30c2698a5a0a3424b41c3e1a6b1c597c7a80a1c9e3a2b0ba80372badfb18	Και πού είναι τώρα;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
05b6c65cd487511285fc3d152578f22d69f0f2d859c89cab3f7f9161d24528cf	Πως με νόμιζαν τ' αφεντικά μου πιστό, ενώ αρνήθηκα να γυρίσω πίσω, ήταν πραγματικό		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
05cff3ecbf8f4a1f25af67344856e74729a0f71a810ffe83312cff22c90596cc	Θέλω να ελπίζω πως θα είναι ενδιαφέρουσα,		https://www.openbook.gr/oi-mythoi-mesa-mas/	1	0
060b4453735bc78077ff7e3b0068fcdac5b96919de7270d9f5f35fc8d3fa26b2	ρώτησε στενοχωρημένη η κυρά, καθώς τις είδε στο βάθος του ζεμπιλιού		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0664b4d52b3cf6cdee7bb2706daa6d60c15a9274d3323e60a4a17d4147e40328	Δεν είχε ανάγκη από κεντρίσματα για να τρέξει σ' όλους τους δρόμους του κήπου.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0667bde0b6fd2df01e7349c64634df17d5d9533522d26430c05558e78f20af37	Δηλαδή;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
06a7bc525cb0b942538241abde0bd0b7396bae77a0911c32a42bdfdb60806d0e	Σιωπηλά έπλεκε ο περιβολάρης τα τελευταία τριαντάφυλλα στο χερούλι του πανεριού		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
06f609b30786e413923faa509628c0b9ed9f5dfb55eefc3d92f5dd8875de44a7	Για τί αγωνιζόμαστε;		https://www.marxists.org/ellinika/archive/pouliop/works/1937/06/popfront.htm	1	0
07205afe22ff37a743a5ea1b28b599d5481521a171bd9081c0f1b022676a3c36	μα τώρα θα φύγει, θα πιάσει δικό του σπίτι γιατί θέλει ησυχία λέει.		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/	1	0
07516d0d912d92dcb8ab8f7328a6eb2d93008f0928b0dc94672a7a23de4a31aa	Κόψε τον με τα δόντια σου.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0759c5a932140d723d242e2d28b33aa4ef9716e82c399c4c46f4cd6c55835d3d	Ε, ιδιοτροπία παιδιάστικη, τι ησυχία;		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/	1	0
0792fd5f51f8b4abec42f793354e0b860d4f0555c4c8f2b23412cbaacf58cbaa	Κοντοστάθηκα μια στιγμή		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0798b5555c326b8c49941dc8d038b15fa9742a6dc6a6f752bc78e9b50ee7c97e	Ούτε προσφάγι δεν ήταν η πίτα!		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
07c3fe0505d0cd424fbca066c63a874c4b66ddd36760b6cd38c1449ba02d2d72	Και πήγε στο Ζέλοβο όπου έκρυψε σ' ένα σπίτι το τίμιο φορτίο του		sentence-collector	1	0
07dc59c880759751f6daa92a5216cfaabbf709db04367024b42e730f4a63cb16	δεν της έδινε το θέμα στους διαγωνισμούς κ’ έπαιρνε κάθε φορά δέκα;		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/	1	0
07f9df97d23f94bbb2b6761a0c366e46dde4035adf4b5ea73f5fdb8a0b3cb503	ρώτησε πιο απότομα η Άννα.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
083ab9d83900c21eef04426c57f06cbc7ad2154da627aaaa7d49cf116d1172fb	Πάνε και πολλά άλλα πράματα μαζί, είπε η Γιαγιά.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0885d516731906f7cfa9540b1d057ab22bbc044ad6b72861c88ee42111f86ee4	Η Μαριγώ έτριβε τις μπότες του, ώσπου γυάλισαν σαν καθρέφτες		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
0921ddc96424fe0fa05206970ca497561ace7a794cfea770283ca6894a240f1f	Και ξαναγονάτισε ο Βασίλης να τη δέσει.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
092f5495f30d7270c64127528e00e64779060de8ae97109865b1153e1369dde2	Κι έσβησε το παραθυράκι, ο σκύλος χάθηκε, και μπροστά μου ήταν ένα θαμπό ξύλο		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???	1	0
09401691c2cd7ca3958b0012c4daef9ef1e56f50347f3a53723b62a0a711bf8b	με πολύ ενδιαφέρον, ωραία και έξυπνη πολύ,		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/	1	0
